url_path,views_total,views_unique
/demichie/elicipy,8,5
/demichie/elicipy/tree/main/.github/workflows,2,2
/demichie/elicipy/blob/main/Elicipy.py,2,1
/demichie/elicipy/blame/main/Elicipy.py,1,1
/demichie/elicipy/blob/main/ELICITATIONS/testWebform/DATA/questionnaire.csv,1,1
/demichie/elicipy/blob/main/README.md,1,1
/demichie/elicipy/tree/main,1,1
/demichie/elicipy/tree/main/ELICITATIONS,1,1
/demichie/elicipy/tree/main/ELICITATIONS/testWebform,1,1
/demichie/elicipy/tree/main/ELICITATIONS/testWebform/DATA,1,1
